Macrotrends Data Download

New Zealand Carbon (CO2) Emissions 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Per Capita, 
date, Kilotons of Co2, Metric Tons Per Capita, 
1990-12-31,22310,6.7001
1991-12-31,22630,6.4748
1992-12-31,24380,6.9032
1993-12-31,23960,6.7074
1994-12-31,24230,6.6934
1995-12-31,24330,6.6233
1996-12-31,25410,6.8087
1997-12-31,27690,7.3229
1998-12-31,27180,7.1245
1999-12-31,28610,7.46
2000-12-31,29450,7.6341
2001-12-31,31620,8.1484
2002-12-31,31540.0009,7.9878
2003-12-31,33400.0015,8.2936
2004-12-31,32840.0002,8.0343
2005-12-31,34229.9995,8.2803
2006-12-31,34270.0005,8.1896
2007-12-31,33270.0005,7.8768
2008-12-31,34169.9982,8.0215
2009-12-31,31170.0001,7.2445
2010-12-31,31049.9992,7.1368
2011-12-31,30290.0009,6.9092
2012-12-31,32110.0006,7.2843
2013-12-31,31889.9994,7.179
2014-12-31,31969.9993,7.0785
2015-12-31,32279.9988,7.0031
2016-12-31,31190.0005,6.6163
2017-12-31,32930.0003,6.841
2018-12-31,32360.0006,6.6033
2019-12-31,34009.9983,6.8304
