Macrotrends Data Download

Finland Carbon (CO2) Emissions 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Per Capita, 
date, Kilotons of Co2, Metric Tons Per Capita, 
1990-12-31,54560,10.9417
1991-12-31,55130,10.9958
1992-12-31,52280,10.3689
1993-12-31,53460,10.5518
1994-12-31,59930,11.7779
1995-12-31,56090,10.9813
1996-12-31,62570,12.2098
1997-12-31,60620,11.7942
1998-12-31,57270,11.1128
1999-12-31,56510,10.9399
2000-12-31,55100,10.6449
2001-12-31,61090,11.7752
2002-12-31,63439.9986,12.1986
2003-12-31,71709.9991,13.756
2004-12-31,67680.0003,12.9453
2005-12-31,55459.9991,10.5717
2006-12-31,67019.9966,12.7263
2007-12-31,65099.9985,12.3092
2008-12-31,56659.9998,10.6636
2009-12-31,54180.0003,10.1482
2010-12-31,62529.9988,11.6588
2011-12-31,55119.9989,10.2296
2012-12-31,49409.9998,9.1264
2013-12-31,50189.9986,9.2278
2014-12-31,46159.9998,8.4519
2015-12-31,42819.9997,7.8145
2016-12-31,45700.0008,8.3162
2017-12-31,43020.0005,7.8102
2018-12-31,44580.0018,8.0826
2019-12-31,40709.9991,7.3729
