Macrotrends Data Download

Venezuela Carbon (CO2) Emissions 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Total, Per Capita, 
date, Kilotons of Co2, Metric Tons Per Capita, 
1990-12-31,101630,5.1457
1991-12-31,100990,4.993
1992-12-31,103110,4.981
1993-12-31,107390,5.0722
1994-12-31,106530,4.9226
1995-12-31,114040,5.1585
1996-12-31,121840,5.3978
1997-12-31,127590,5.5383
1998-12-31,129300,5.5012
1999-12-31,125460,5.2347
2000-12-31,131520,5.384
2001-12-31,135800,5.4582
2002-12-31,140750,5.5564
2003-12-31,135770.0043,5.2661
2004-12-31,139610.0006,5.3232
2005-12-31,147380.0049,5.5263
2006-12-31,147529.9988,5.4435
2007-12-31,142389.9994,5.1731
2008-12-31,151110.0006,5.4096
2009-12-31,152589.9963,5.3866
2010-12-31,164100.0061,5.7148
2011-12-31,160039.9933,5.5004
2012-12-31,181130.0049,6.1462
2013-12-31,180429.9927,6.047
2014-12-31,179240.0055,5.9364
2015-12-31,163130.0049,5.3433
2016-12-31,151070.0073,4.9142
2017-12-31,140820.0073,4.6075
2018-12-31,132130.0049,4.4301
2019-12-31,112339.9963,3.8776
